Provider_Name,Provider_ID,Provider_TIN,Provider_Address,Provider_city,Provider_state,Provider_zip,Provider_county,Provider_Phone
Dr. Sara Gomez,P0174,140949012,3782 Oak St Ste 801,Dallas,TX,75201,Dallas,555-929-8943
Dr. Michael Patel,P0168,932995605,2965 Main St Ste 348,Phoenix,AZ,85001,Maricopa,555-190-4822
Dr. John Khan,P0221,520088981,5739 Elm St Ste 654,Dallas,TX,75201,Dallas,555-484-2689
Dr. Anita Singh,P0038,749072524,3980 Elm St Ste 397,Houston,TX,77002,Harris,555-394-3738
Dr. Emily Lee,P0154,465126986,9662 Pine Ave Ste 949,Irvine,CA,92602,Orange,555-118-8339
Dr. Michael Lee,P0060,708541737,6528 Maple Dr Ste 226,Atlanta,GA,30303,Fulton,555-946-9762
Dr. Priya Gomez,P0102,940202098,3254 Pine Ave Ste 562,Los Angeles,CA,90001,Los Angeles,555-255-8342
Dr. Ritu Patel,P0230,394361413,4805 Oak St Ste 164,Atlanta,GA,30303,Fulton,555-597-2265
Dr. Priya Garcia,P0042,95789725,1684 Main St Ste 313,Los Angeles,CA,90001,Los Angeles,555-234-1978
Dr. Ritu Khan,P0194,140949012,8390 Pine Ave Ste 156,Brooklyn,NY,11201,Kings,555-454-4021
Dr. Deepak Narayan,P0105,80437774,8630 Oak St Ste 365,Atlanta,GA,30303,Fulton,555-526-8590
Dr. Luis Singh,P0234,304020885,4375 Pine Ave Ste 367,Miami,FL,33101,Miami-Dade,555-790-8734
Dr. Deepak Brown,P0100,210061434,8522 Pine Ave Ste 383,Houston,TX,77002,Harris,555-539-8219
Dr. Deepak Khan,P0079,532615535,5925 Main St Ste 152,Brooklyn,NY,11201,Kings,555-831-3110
Dr. Anita Garcia,P0083,71320189,7808 Oak St Ste 406,Brooklyn,NY,11201,Kings,555-546-1018
Dr. Raj Khan,P0039,202284712,7554 Pine Ave Ste 450,Irvine,CA,92602,Orange,555-234-3761
Dr. John Brown,P0179,394361413,9967 Pine Ave Ste 924,Phoenix,AZ,85001,Maricopa,555-778-6949
Dr. Michael Gomez,P0207,723871196,3420 Main St Ste 432,Atlanta,GA,30303,Fulton,555-352-4539
Dr. Anita Patel,P0127,816195556,8435 Elm St Ste 627,Chicago,IL,60601,Cook,555-265-9856
Dr. Michael Khan,P0125,223019534,8450 Elm St Ste 318,Dallas,TX,75201,Dallas,555-621-7296
Dr. John Garcia,P0009,349631229,9239 Pine Ave Ste 666,Anaheim,CA,92801,Orange,555-587-9049
Dr. Ritu Narayan,P0110,291132524,3239 Maple Dr Ste 229,Houston,TX,77002,Harris,555-296-2082
Dr. Luis Mehta,P0117,368883053,9266 Pine Ave Ste 666,Anaheim,CA,92801,Orange,555-795-8632
Dr. Anita Patel,P0011,184717217,8419 Main St Ste 768,Houston,TX,77002,Harris,555-957-8761
Dr. Emily Lee,P0063,967510419,5541 Main St Ste 151,Miami,FL,33101,Miami-Dade,555-490-3383
Dr. John Singh,P0177,893640097,3832 Pine Ave Ste 750,Anaheim,CA,92801,Orange,555-829-2358
Dr. Anita Desai,P0035,905758903,9714 Oak St Ste 279,Atlanta,GA,30303,Fulton,555-155-2796
Dr. Sara Brown,P0033,140949012,6230 Maple Dr Ste 854,Houston,TX,77002,Harris,555-630-4784
Dr. Priya Khan,P0144,512060540,9139 Main St Ste 786,Anaheim,CA,92801,Orange,555-749-8029
Dr. Ritu Patel,P0068,223019534,902 Oak St Ste 690,Los Angeles,CA,90001,Los Angeles,555-674-3001
Dr. John Desai,P0016,905758903,8710 Elm St Ste 666,Anaheim,CA,92801,Orange,555-721-6210
Dr. Michael Desai,P0116,585550522,3406 Pine Ave Ste 888,Los Angeles,CA,90001,Los Angeles,555-813-4092
Dr. Anita Narayan,P0088,179871233,8546 Maple Dr Ste 631,Miami,FL,33101,Miami-Dade,555-170-5098
Dr. Michael Mehta,P0048,520088981,4874 Pine Ave Ste 897,Anaheim,CA,92801,Orange,555-682-3783
Dr. Deepak Khan,P0248,68707328,1235 Pine Ave Ste 738,Anaheim,CA,92801,Orange,555-407-2467
Dr. John Gomez,P0217,520088981,5451 Pine Ave Ste 601,Irvine,CA,92602,Orange,555-195-4606
Dr. Deepak Narayan,P0224,704669694,2371 Main St Ste 468,Houston,TX,77002,Harris,555-583-6694
Dr. Sara Patel,P0233,512060540,9386 Elm St Ste 489,Houston,TX,77002,Harris,555-439-9615
Dr. Michael Singh,P0059,535790142,6597 Pine Ave Ste 303,Chicago,IL,60601,Cook,555-995-4586
Dr. Sara Lee,P0237,915733896,5401 Elm St Ste 824,Chicago,IL,60601,Cook,555-614-9518
Dr. Ritu Singh,P0147,223019534,3122 Oak St Ste 873,Atlanta,GA,30303,Fulton,555-339-2309
Dr. Deepak Khan,P0139,465126986,6729 Oak St Ste 274,Phoenix,AZ,85001,Maricopa,555-123-2836
Dr. Deepak Desai,P0166,95789725,8959 Elm St Ste 505,Anaheim,CA,92801,Orange,555-121-2426
Dr. Raj Garcia,P0093,158100534,7718 Oak St Ste 910,Dallas,TX,75201,Dallas,555-314-6713
Dr. Anita Patel,P0032,880763547,7298 Elm St Ste 855,Brooklyn,NY,11201,Kings,555-561-5068
